| wirenumber              | from_component    | from_pin   | to_component      | to_pin   | netname               |   awg |
|-------------------------|-------------------|------------|-------------------|----------|-----------------------|-------|
| 110L-1                  | wall_plug         | 1          | live_power_t      | 1A       | 110L                  |    12 |
| 110L-2                  | live_power_t      | 1B         | transformer       | 110L     | 110L                  |    20 |
| 110L-3                  | live_power_t      | 3A         | contactor_110     | T2       | 110L                  |    20 |
| 110L-4                  | 24v               | 110L       | live_power_t      | 3B       | 110L                  |    20 |
| 110L-5                  | 5v                | 110L       | live_power_t      | 5A       | 110L                  |    20 |
| 110L_SWITCHED-1         | contactor_110     | L2         | switched_110L     | 1A       | 110L_SWITCHED         |    20 |
| 110L_SWITCHED-2         | 48v               | 110L       | switched_110L     | 1B       | 110L_SWITCHED         |    20 |
| 110L_SWITCHED-3         | 36V_X1            | 110L       | switched_110L     | 2A       | 110L_SWITCHED         |    20 |
| 110L_SWITCHED-4         | 36V_X2            | 110L       | switched_110L     | 2B       | 110L_SWITCHED         |    20 |
| 110N-1                  | wall_plug         | 2          | live_power_t      | 2A       | 110N                  |    12 |
| 110N-2                  | live_power_t      | 2B         | transformer       | 110N     | 110N                  |    20 |
| 110N-3                  | live_power_t      | 4A         | contactor_110     | T3       | 110N                  |    20 |
| 110N-4                  | 24v               | 110N       | live_power_t      | 4B       | 110N                  |    20 |
| 110N-5                  | 5v                | 110N       | live_power_t      | 6A       | 110N                  |    20 |
| 110N_SWITCHED-1         | contactor_110     | L3         | switched_110N     | 1A       | 110N_SWITCHED         |    20 |
| 110N_SWITCHED-2         | 36V_X1            | 110N       | switched_110N     | 1B       | 110N_SWITCHED         |    20 |
| 110N_SWITCHED-3         | 36V_X2            | 110N       | switched_110N     | 2A       | 110N_SWITCHED         |    20 |
| 110N_SWITCHED-4         | 48v               | 110N       | switched_110N     | 2B       | 110N_SWITCHED         |    20 |
| 24V-1                   | estop_panel       | reset_sw+  | cnc_terminals     | 55A      | 24V                   |    20 |
| 24V-2                   | cnc_terminals     | 55B        | 24V_bus           | 1A       | 24V                   |    20 |
| 24V-3                   | estop_panel       | light+     | cnc_terminals     | 59A      | 24V                   |    20 |
| 24V-4                   | cnc_terminals     | 59B        | 24V_bus           | 1B       | 24V                   |    20 |
| 24V-5                   | 24v               | 24V        | 24V_bus           | 2A       | 24V                   |    20 |
| 24V-6                   | 24V_bus           | 2B         | axbb-e            | I1+      | 24V                   |    20 |
| 24V-7                   | 24V_bus           | 3A         | axbb-e            | I2+      | 24V                   |    20 |
| 24V-8                   | 24V_bus           | 3B         | axbb-e            | I3+      | 24V                   |    20 |
| 24V-9                   | 24V_bus           | 4A         | axbb-e            | I4+      | 24V                   |    20 |
| 24V-10                  | 24V_bus           | 4B         | axbb-e            | I5+      | 24V                   |    20 |
| 24V-11                  | axbb-e            | IN-24V+    | 24V_bus           | 5A       | 24V                   |    20 |
| 24V-12                  | reset_relay       | COM        | 24V_bus           | 5B       | 24V                   |    20 |
| 24V-13                  | opto_board        | 1+         | 24V_bus           | 6A       | 24V                   |    20 |
| 24V-14                  | opto_board        | 3+         | 24V_bus           | 6B       | 24V                   |    20 |
| 24V-15                  | opto_board        | 4+         | 24V_bus           | 7A       | 24V                   |    20 |
| 24V-16                  | opto_board        | 5+         | 24V_bus           | 7B       | 24V                   |    20 |
| 24V-17                  | opto_board        | 6+         | 24V_bus           | 8A       | 24V                   |    20 |
| 24V0-1                  | estop_panel       | estop-     | cnc_terminals     | 58A      | 24V0                  |    20 |
| 24V0-2                  | cnc_terminals     | 58B        | estop_relay       | NC       | 24V0                  |    20 |
| 24V0-3                  | 24v               | 24V0       | 24V0_bus          | 1A       | 24V0                  |    20 |
| 24V0-4                  | axbb-e            | IN-24V0    | 24V0_bus          | 1B       | 24V0                  |    20 |
| 24V0-5                  | ulimit_relay      | COM        | 24V0_bus          | 2A       | 24V0                  |    20 |
| 24V0-6                  | estop_relay       | NC         | 24V0_bus          | 2B       | 24V0                  |    20 |
| 24V0-7                  | opto_board        | 2-         | 24V0_bus          | 3A       | 24V0                  |    20 |
| 5V-1                    | z_limits          | 5v         | cnc_terminals     | 11A      | 5V                    |    20 |
| 5V-2                    | cnc_terminals     | 11B        | 5V_bus            | 1A       | 5V                    |    20 |
| 5V-3                    | y_limits          | 5v         | cnc_terminals     | 25A      | 5V                    |    20 |
| 5V-4                    | cnc_terminals     | 25B        | 5V_bus            | 1B       | 5V                    |    20 |
| 5V-5                    | x1_limits         | 5v         | cnc_terminals     | 37A      | 5V                    |    20 |
| 5V-6                    | cnc_terminals     | 37B        | 5V_bus            | 2A       | 5V                    |    20 |
| 5V-7                    | x2_limits         | 5v         | cnc_terminals     | 49A      | 5V                    |    20 |
| 5V-8                    | cnc_terminals     | 49B        | 5V_bus            | 2B       | 5V                    |    20 |
| 5V-9                    | driver_relay      | DC+        | 5V_bus            | 3A       | 5V                    |    20 |
| 5V-10                   | estop_relay       | DC+        | 5V_bus            | 3B       | 5V                    |    20 |
| 5V-11                   | reset_relay       | DC+        | 5V_bus            | 4A       | 5V                    |    20 |
| 5V-12                   | ulimit_relay      | DC+        | 5V_bus            | 4B       | 5V                    |    20 |
| 5V-13                   | 5v                | 5V         | 5V_bus            | 5A       | 5V                    |    20 |
| 5V-14                   | axbb-e            | IN-5V+     | 5V_bus            | 5B       | 5V                    |    20 |
| 5V-15                   | alarm_limit_board | VIN        | 5V_bus            | 6A       | 5V                    |    20 |
| 5V-16                   | driver_relay      | NC         | 5V_bus            | 6B       | 5V                    |    20 |
| 5V-17                   | driver_relay      | COM        | 5V_switched_bus   | 1A       | 5V                    |    20 |
| 5V0-1                   | z_limits          | 5v0        | cnc_terminals     | 14A      | 5V0                   |    20 |
| 5V0-2                   | cnc_terminals     | 14B        | 5V0_bus           | 1A       | 5V0                   |    20 |
| 5V0-3                   | y_limits          | 5v0        | cnc_terminals     | 28A      | 5V0                   |    20 |
| 5V0-4                   | cnc_terminals     | 28B        | 5V0_bus           | 1B       | 5V0                   |    20 |
| 5V0-5                   | x1_control        | alrm-      | cnc_terminals     | 32A      | 5V0                   |    20 |
| 5V0-6                   | cnc_terminals     | 32B        | 5V0_bus           | 2A       | 5V0                   |    20 |
| 5V0-7                   | x1_control        | dir-       | cnc_terminals     | 34A      | 5V0                   |    20 |
| 5V0-8                   | cnc_terminals     | 34B        | 5V0_bus           | 2B       | 5V0                   |    20 |
| 5V0-9                   | x1_control        | pul-       | cnc_terminals     | 36A      | 5V0                   |    20 |
| 5V0-10                  | cnc_terminals     | 36B        | 5V0_bus           | 3A       | 5V0                   |    20 |
| 5V0-11                  | x1_limits         | 5v0        | cnc_terminals     | 40A      | 5V0                   |    20 |
| 5V0-12                  | cnc_terminals     | 40B        | 5V0_bus           | 3B       | 5V0                   |    20 |
| 5V0-13                  | x2_control        | alrm-      | cnc_terminals     | 44A      | 5V0                   |    20 |
| 5V0-14                  | cnc_terminals     | 44B        | 5V0_bus           | 4A       | 5V0                   |    20 |
| 5V0-15                  | x2_control        | dir-       | cnc_terminals     | 46A      | 5V0                   |    20 |
| 5V0-16                  | cnc_terminals     | 46B        | 5V0_bus           | 4B       | 5V0                   |    20 |
| 5V0-17                  | x2_control        | pul-       | cnc_terminals     | 48A      | 5V0                   |    20 |
| 5V0-18                  | cnc_terminals     | 48B        | 5V0_bus           | 5A       | 5V0                   |    20 |
| 5V0-19                  | x2_limits         | 5v0        | cnc_terminals     | 52A      | 5V0                   |    20 |
| 5V0-20                  | cnc_terminals     | 52B        | 5V0_bus           | 5B       | 5V0                   |    20 |
| 5V0-21                  | driver_relay      | DC-        | 5V0_bus           | 6A       | 5V0                   |    20 |
| 5V0-22                  | estop_relay       | DC-        | 5V0_bus           | 6B       | 5V0                   |    20 |
| 5V0-23                  | reset_relay       | DC-        | 5V0_bus           | 7A       | 5V0                   |    20 |
| 5V0-24                  | ulimit_relay      | DC-        | 5V0_bus           | 7B       | 5V0                   |    20 |
| 5V0-25                  | 5v                | 5V0        | 5V0_bus           | 8A       | 5V0                   |    20 |
| 5V0-26                  | y_cl57s           | PUL-       | 5V0_bus           | 8B       | 5V0                   |    20 |
| 5V0-27                  | y_cl57s           | DIR-       | 5V0_bus           | 9A       | 5V0                   |    20 |
| 5V0-28                  | y_cl57s           | COM-       | 5V0_bus           | 9B       | 5V0                   |    20 |
| 5V0-29                  | Z_cl57s           | PUL-       | 5V0_bus           | 10A      | 5V0                   |    20 |
| 5V0-30                  | Z_cl57s           | DIR-       | 5V0_bus           | 10B      | 5V0                   |    20 |
| 5V0-31                  | Z_cl57s           | COM-       | 5V0_bus           | 11A      | 5V0                   |    20 |
| 5V0-32                  | axbb-e            | IN-5V0     | 5V0_bus           | 11B      | 5V0                   |    20 |
| 5V0-33                  | alarm_limit_board | 5V0        | 5V0_bus           | 12A      | 5V0                   |    20 |
| ALM_X1-1                | x1_control        | alrm+      | cnc_terminals     | 31A      | ALM_X1                |    20 |
| ALM_X1-2                | cnc_terminals     | 31B        | alarm_limit_board | D7       | ALM_X1                |    20 |
| ALM_X2-1                | x2_control        | alrm+      | cnc_terminals     | 43A      | ALM_X2                |    20 |
| ALM_X2-2                | cnc_terminals     | 43B        | alarm_limit_board | D8       | ALM_X2                |    20 |
| ALM_Y-1                 | y_cl57s           | ALM        | alarm_limit_board | D6       | ALM_Y                 |    20 |
| ALM_Z-1                 | Z_cl57s           | ALM        | alarm_limit_board | D9       | ALM_Z                 |    20 |
| COIL+-1                 | contactor_110     | A1         | contactor_220     | A1       | COIL+                 |    20 |
| COIL+-2                 | contactor_110     | A1         | coil_t            | 1A       | COIL+                 |    20 |
| COIL+-3                 | axbb-e            | I6+        | coil_t            | 1B       | COIL+                 |    20 |
| COIL+-4                 | reset_relay       | NO         | coil_t            | 2A       | COIL+                 |    20 |
| COIL--1                 | contactor_110     | A2         | contactor_220     | A2       | COIL-                 |    20 |
| COIL--2                 | contactor_110     | A2         | coil_t            | 5A       | COIL-                 |    20 |
| COIL--3                 | estop_panel       | estop+     | cnc_terminals     | 57A      | COIL-                 |    20 |
| COIL--4                 | cnc_terminals     | 57B        | coil_t            | 5B       | COIL-                 |    20 |
| COIL--5                 | estop_panel       | light-     | cnc_terminals     | 60A      | COIL-                 |    20 |
| COIL--6                 | cnc_terminals     | 60B        | coil_t            | 6A       | COIL-                 |    20 |
| COIL--7                 | axbb-e            | I6-        | coil_t            | 6B       | COIL-                 |    20 |
| COIL--8                 | estop_relay       | COM        | coil_t            | 7A       | COIL-                 |    20 |
| COIL_SENSE-1            | alarm_limit_board | A5         | opto_board        | O1       | COIL_SENSE            |    20 |
| DP_CTL-1                | alarm_limit_board | D4         | driver_relay      | IN       | DP_CTL                |    20 |
| DRIVER_48V-1            | y_cl57s           | +VDC       | 48v               | 48V      | DRIVER_48V            |    20 |
| DRIVER_48V-2            | Z_cl57s           | +VDC       | 48v               | 48V      | DRIVER_48V            |    20 |
| DRIVER_GND-1            | z_control         | gnd        | cnc_terminals     | 10A      | DRIVER_GND            |    20 |
| DRIVER_GND-2            | cnc_terminals     | 10B        | Z_cl57s           | GND      | DRIVER_GND            |    20 |
| DRIVER_GND-3            | y_control         | gnd        | cnc_terminals     | 24A      | DRIVER_GND            |    20 |
| DRIVER_GND-4            | cnc_terminals     | 24B        | y_cl57s           | GND      | DRIVER_GND            |    20 |
| DRIVER_GND-5            | y_cl57s           | GND        | 48v               | 48V0     | DRIVER_GND            |    20 |
| DRIVER_GND-6            | Z_cl57s           | GND        | 48v               | 48V0     | DRIVER_GND            |    20 |
